ImageFile1,ImageFile2,MatchSimilar,SequenceNumber
IMS/17-RapanaVenosa-02.jpg,Match/17-RapanaVenosa-05.jpg,Match,339
IMS/15-PernaViridis-01.jpg,SimilarSameFamily/15-02-TrichomyaHirsuta.jpg,SimilarSameFamily,339
IMS/12-PatiriellaRegularis-03.jpg,Match/12-PatiriellaRegularis-06.jpg,Match,339
IMS/17-RapanaVenosa-03.jpg,SimilarSameOrder/17-01-HastulaCinerea.jpg,SimilarSameOrder,339
IMS/16-PotamocorbulaAmurensis-03.jpg,SimilarSameOrder/16-03-CytodariaSiliqua.jpg,SimilarSameOrder,339
IMS/03-CarcinusMaenas-01.jpg,SimilarSameFamily/03-01-NectocarcinusIntegifrons.jpg,SimilarSameFamily,339
IMS/18-SabellaSpallanzanii-01.jpg,SimilarSameGenus/18-01-SabellaPavonina.jpg,SimilarSameGenus,339
IMS/01-VaricorbulaGibba-04.jpg,SimilarSameGenus/01-03-VaricorbulaOperculata.jpg,SimilarSameGenus,339
IMS/12-PatiriellaRegularis-02.jpg,SimilarSameFamily/12-01-CalloptiriaGranfera.jpg,SimilarSameFamily,339
IMS/08-HemigrapsusSanguineus-01.jpg,SimilarSameGenus/08-02-HemigrapsusOregonesis.jpg,SimilarSameGenus,339
IMS/15-PernaViridis-02.jpg,Match/15-PernaViridis-07.jpg,Match,339
IMS/08-HemigrapsusSanguineus-02.jpg,SimilarSameFamily/08-01-CyclograpsusInteger.jpg,SimilarSameFamily,339
IMS/13-PernaCanaliculus-04.jpg,SimilarSameFamily/13-02-BrachidontesDomingensis.jpg,SimilarSameFamily,339
IMS/18-SabellaSpallanzanii-04.jpg,SimilarSameOrder/18-02-FicopomatusEnigmaticus.jpg,SimilarSameOrder,339
IMS/05-CodiumFragile-01.jpg,SimilarSameOrder/05-02-OsterobiumQueketti.jpg,SimilarSameOrder,339
IMS/16-PotamocorbulaAmurensis-01.jpg,Match/16-PotamocorbulaAmurensis-05.jpg,Match,339
IMS/14-PernaPerna-04.jpg,SimilarSameFamily/14-01-TrichomyaHirsuta.jpg,SimilarSameFamily,339
IMS/10-MyaJaponica-01.jpg,Match/10-MyaJaponica-05.jpg,Match,339
IMS/04-CharybdisJaponica-04.jpg,SimilarSameFamily/04-01-OvalipesOcellatus.jpg,SimilarSameFamily,339
IMS/06-CrepidulaFornicata-01.jpg,SimilarSameOrder/06-01-EcrobiaTruncata.jpg,SimilarSameOrder,339
IMS/10-MyaJaponica-02.jpg,SimilarSameFamily/10-01-PlaytodonCancellatus.jpg,SimilarSameFamily,339
IMS/05-CodiumFragile-03.jpg,Match/05-CodiumFragile-06.jpg,Match,339
IMS/01-VaricorbulaGibba-02.jpg,SimilarSameOrder/01-01-BarneaTruncata.jpg,SimilarSameOrder,339
IMS/05-CodiumFragile-04.jpg,SimilarSameGenus/05-01-CodiumSpongiosum.jpg,SimilarSameGenus,339
IMS/07-EuchoneLimnicola-04.jpg,SimilarSameGenus/07-02-EuchonePapillosa.jpg,SimilarSameGenus,339
IMS/02-AsteriasAmurensis-02.jpg,Match/02-AsteriasAmurensis-07.jpg,Match,339
IMS/01-VaricorbulaGibba-03.jpg,SimilarSameFamily/01-02-LentidiumMediterraneum.jpg,SimilarSameFamily,339
IMS/17-RapanaVenosa-01.jpg,SimilarSameGenus/17-02-RapanaBezoar.jpg,SimilarSameGenus,339
IMS/11-MytiopsisSallei-02.jpg,SimilarSameOrder/11-01-AcanthocardiaAculeata.jpg,SimilarSameOrder,339
IMS/06-CrepidulaFornicata-04.jpg,SimilarSameFamily/06-01-CrepipatellaDorsata.jpg,SimilarSameFamily,339
IMS/04-CharybdisJaponica-01.jpg,SimilarSameGenus/04-01-CharybdisHellerii.jpg,SimilarSameGenus,339
IMS/03-CarcinusMaenas-04.jpg,Match/03-CarcinusMaenas-06.jpg,Match,339
IMS/15-PernaViridis-03.jpg,SimilarSameGenus/15-01-PernaPerna.jpg,SimilarSameGenus,339
IMS/17-RapanaVenosa-04.jpg,SimilarSameFamily/17-01-AcanthotrophonCarduus.jpg,SimilarSameFamily,339
IMS/13-PernaCanaliculus-02.jpg,SimilarSameGenus/13-02-PernaViridis.jpg,SimilarSameGenus,339
IMS/14-PernaPerna-03.jpg,Match/14-PernaPerna-05.jpg,Match,339
IMS/02-AsteriasAmurensis-04.jpg,SimilarSameFamily/02-01-PiasterOchraceus.jpg,SimilarSameFamily,339
IMS/16-PotamocorbulaAmurensis-02.jpg,SimilarSameFamily/16-02-CorbulaSulcata.jpg,SimilarSameFamily,339
IMS/06-CrepidulaFornicata-03.jpg,SimilarSameGenus/06-01-CrepidulaGrandis.jpg,SimilarSameGenus,339
IMS/14-PernaPerna-01.jpg,SimilarSameOrder/14-01-SeptiferBilocularis.jpg,SimilarSameOrder,339
IMS/03-CarcinusMaenas-03.jpg,SimilarSameOrder/03-01-HepatusEpheliticus.jpg,SimilarSameOrder,339
IMS/18-SabellaSpallanzanii-02.jpg,SimilarSameFamily/18-01-SabellastarteMagnifica.jpg,SimilarSameFamily,339
IMS/12-PatiriellaRegularis-01.jpg,SimilarSameOrder/12-01-TosiaMagnifica.jpg,SimilarSameOrder,339
IMS/09-HydroidesSanctaecrucis-03.jpg,SimilarSameGenus/09-02-HydroidesDianthus.jpg,SimilarSameGenus,339
IMS/11-MytiopsisSallei-04.jpg,SimilarSameFamily/11-01-DreissenaBugensis.jpg,SimilarSameFamily,339
IMS/02-AsteriasAmurensis-01.jpg,SimilarSameOrder/02-01-HeliasterKubiniji.jpg,SimilarSameOrder,339
IMS/03-CarcinusMaenas-02.jpg,SimilarSameGenus/03-03-CarcinusAestuarii.jpg,SimilarSameGenus,339
IMS/11-MytiopsisSallei-03.jpg,SimilarSameGenus/11-01-MytilopsisLeucophaeta.jpg,SimilarSameGenus,339
IMS/07-EuchoneLimnicola-01.jpg,SimilarSameFamily/07-01-EudistyliaPolymorpha.jpg,SimilarSameFamily,339
IMS/18-SabellaSpallanzanii-03.jpg,Match/18-SabellaSpallanzanii-05.jpg,Match,339
IMS/07-EuchoneLimnicola-02.jpg,Match/07-EuchoneLimnicola-07.jpg,Match,339
IMS/09-HydroidesSanctaecrucis-04.jpg,SimilarSameFamily/09-01-ChitinopomaSerrula.jpg,SimilarSameFamily,339
IMS/10-MyaJaponica-03.jpg,SimilarSameGenus/10-02-MyaTruncata.jpg,SimilarSameGenus,339
IMS/02-AsteriasAmurensis-03.jpg,SimilarSameGenus/02-02-AsteriasForbesi.jpg,SimilarSameGenus,339
IMS/08-HemigrapsusSanguineus-04.jpg,SimilarSameOrder/08-01-Goniopsis-Cruentata.jpg,SimilarSameOrder,339
IMS/05-CodiumFragile-02.jpg,SimilarSameFamily/05-01-TydemaniaExpeditions.jpg,SimilarSameFamily,339
IMS/06-CrepidulaFornicata-02.jpg,Match/06-CrepidulaFornicata-05.jpg,Match,339
IMS/01-VaricorbulaGibba-01.jpg,Match/01-VaricorbulaGibba-06.jpg,Match,339
IMS/13-PernaCanaliculus-03.jpg,SimilarSameOrder/13-01-StaveliaSubdistorta.jpg,SimilarSameOrder,339
IMS/09-HydroidesSanctaecrucis-01.jpg,Match/09-HydroidesSanctaecrucis-05.jpg,Match,339
IMS/11-MytiopsisSallei-01.jpg,Match/11-MytiopsisSallei-05.jpg,Match,339
IMS/15-PernaViridis-04.jpg,SimilarSameOrder/15-02-SeptiferBilocularis.jpg,SimilarSameOrder,339
IMS/14-PernaPerna-02.jpg,SimilarSameGenus/14-01-PernaViridis.jpg,SimilarSameGenus,339
IMS/08-HemigrapsusSanguineus-03.jpg,Match/08-HemigrapsusSanguineus-07.jpg,Match,339
IMS/10-MyaJaponica-04.jpg,SimilarSameOrder/10-01-PanopeaAbrupta.jpg,SimilarSameOrder,339
IMS/13-PernaCanaliculus-01.jpg,Match/13-PernaCanaliculus-07.jpg,Match,339
IMS/04-CharybdisJaponica-02.jpg,Match/04-CharybdisJaponica-06.jpg,Match,339
IMS/12-PatiriellaRegularis-04.jpg,SimilarSameGenus/12-02-PatiriellaMortenseni.jpg,SimilarSameGenus,339
IMS/04-CharybdisJaponica-03.jpg,SimilarSameOrder/04-01-CalappaJaponica.jpg,SimilarSameOrder,339
IMS/16-PotamocorbulaAmurensis-04.jpg,SimilarSameGenus/16-01-PotamorcorubulaFasciata.jpg,SimilarSameGenus,339
IMS/07-EuchoneLimnicola-03.jpg,SimilarSameOrder/07-01-FabriciaSabella.jpg,SimilarSameOrder,339
IMS/09-HydroidesSanctaecrucis-02.jpg,SimilarSameOrder/09-01-PseudobranchiommaLonga.jpg,SimilarSameOrder,339
